Engels,Nederlands,Na ;
arty,kitscherig,
artsy,"kunstig, artistiek, handig",
baggy,"uitgezakt, zakkerig",
balmy,"mild, zacht",
barmy,"gek, geschift",
beefy,"stevig, dik",
boggy,moerassig,
bossy,bazig,
brainy,intelligent,
brassy,"schel, opvallend",koperkleurig
bubbly,"levendig, opgewekt",
bumpy,hobbelig,
bushy,"borstelig, bossig (bear)",
busy,druk (bezig),
cagey,"gesloten, onmededeelzaam",
canny,"slim, pienter, snugger",
chary about/of,"terughoudend, aarzelend (unwilling to)",
cheeky,ondeugend,
cheery,"vrolijk, opgewekt",
cheesy,"goedkoop, waardeloos, prullig",
chewy,"taai om op te bijten, rubberig",
chintzy,"goedkoop, kitscherig, vulgair",
chunky,"gedrongen, stevig, vast",brokkig
claggy,"kleverig, plakkerig",
clappy,"enthoesiast, applaudiseren",
cloggy,"klonterig, kleverig",
clunky,"lomp, zwaar","haperig, niet vlot"
cocky,"brutal, gedurfd, vermetel, vrijpostig",verwaand
comfy,comfortabel,
conscie,gewetensbezwaarde,short for conscientious objector
corny,"afgezaagd, clich-matig",
costly,"duur, prijzig",
cosy,gezellig,
crabby,"chagrijnig, kregelig",nijdig ook van onkruid
crackly,knapperig,"gebroken, gebarsten"
craggy,"rotsig, gebroken, onregelmatig",
crappy,klote,
cringy,,
crinkly,gekreukt,
cully house,,
cushy,"makkelijk, eenvoudig",
dainty,"bevallig, delicaat, verfijnd",
dicey,"bedenkelijk, onzeker, riskant",
dingy [2dIndZi],"afgedragen, armoedig, smerig, sjofel",
dinky,"schattig, snoezig",
ditzy,"stom, onnozel, vergeetachtig",losbollig (people-
dizzy,draaierig,
dodgy,"hachelijk, onbetrouwbaar",
doggy,,
dotty,"getikt, niet goed snik",
dowdy,"slonzig, sjofel",
downy,"donzig, zacht",
dreamy,dromerig,
dusky,"duister, donker, zwart, schemerig, schemerachtig",ook figuurlijk bedoeld
dusty,,
faffy,druk,
fatty,"vettig, dik, olieachtig",
feisty,"onstuimig, rumoerig",opvliegend
fidgety,"klungelig, prutserend",
fiddly,"prutserig, moeilijk te openen, sluiten",
filthy,"vuil, smerig",
flaky,schilferend,
flashy,"opzichtig sjiek, opvallend,",
flaxy,vlassig (blond),
foggy,mistig,
frilly,overdreven versierd,onbenullig (letterlijk en figuurlijk)
frisky,"dartel, vrolijk",
frothy,"met schuim op, ook figuurlijk: luchtig, oppervlakkig",
funky,"gevoelsmatig, cool, ook soort muziek",
fussy,kieskeurig,
fuzzy,kroezelig,
gangly,"sullig, lang, slungelig",
gaudy,"opzichtig, bont, schel",
garish,"fel, schreeuwerig",
geeky,"sullig, onnozel",
giddy,"draaierig, duizelig",
glitzy,"blits, opzichtig, opvallend, schitterend",
gloomy,"donker, duister, zwartgallig",
gloopy,smurrie,"smartlapachtig, smurrie-achtig"
gnarly,"knoestig, misvormd, verdraaid,",
goalie,"keeper, doelwachter",
goodies,lekkere dingen,
goofy,"dom, dwaas",
goolies,"ballen, testikels",
gooey,plakkerig (cake),
grabby,"gulzig, inhalig",
grimy,"vuil, smerig, groezelig (like grim)",
gritty,korrelig,"ook kranig, moedig"
grizzly,"grauw, grijsharig","bangelijk, huiveringwekkend"
groggy,"zat, verdwaasd",
grotty,"beroerd, vies, miezerig",
grumpy,"knorrig, ontevreden",
grungy,"vuil, filthy",
gummy,kleverig (substance),
gungy,in de stijl van gunge muziek,
gunky,plakkerig,
gusty,"enthousiast, geestdriftig, vol animo",
gyppy,,
hairy,harig ook gedurfd,
hefty,"groot, aanzienlijk, ruim (fine)",
herby,kruidig,
holey,met gaten in,
homey,huiselijk,
hooky,play hooky: spijbelen,afwezig; ook hakig
horny,,
husky,hees,
jangly,"kletterend, ratelend",
jaunty,"levendig, opgewekt, zwierig",
jolly,"leuk, plezierig, prettig",
juicy,sappig,
kinky,"excentriek, pervers, seksueel abnormaal",
lanky,"lang, slungelig",
leggy,"hoogpotig, langbenig",
lofty,"hoog, ruim","lang, groot van gestalte"
loopy,"gek, zot",
malty,mouterig (van geur of smaak),
mangy,"schurftig, sjofel",
manky,"vuil, groezelig",afgedankt
mealy,meelachtig,
measly,"magertjes, armzalig",
mingy,vrekkig,
misty,mistig,
motley,"bont, samengeraapt, veelkleurig (vaak pejoratief)",
mucky,"vuil, smerig, (like muck)",
murky,dof (weer),"onduidelijk, troebel (ook figuurlijk)"
musty,"muf, besloten, schimmelig",
nifty,"handig, behendig",
niggly,"kleinzielig, petieterig, pietluttig",
nippy,"frisje, koud",snel!
pally,"vriendschappelijk, vertrouwelijk (cf. pal)",
paltry,"miezerige, povere, luttele",
parky,"koud, kil",
patchy,"gevlekt, gelapt, in vlekken/lappen",gedeeltelijk
paunchy,dikbuiking,
peaky,ziekjes,"puntig, scherp"
picky,"kieskeurig,",
plucky,kranig,
podgy,"rond, rotond",
poky,slonzig,"benauwd, miezerig; klein, bekrompen"
poncy,"aanstellerig, opgedoft",
poorly,"zwakjes, magertjes",
portly,gezet,
posey,"aanstellerig, opvallend",
potty,"knettergek, zot",
pouty,"pruilerig, sip, ongelukkig",
poxy,rot slecht,
